100935	44567424	C65E: BD 8C C0   LDA $C08C,X	0x07	0x60	0x00	0x35	0xFE
100936	44567428	C661: 10 FB      BPL $C65E	0x07	0x60	0x00	0x35	0xFE
100937	44567431	C65E: BD 8C C0   LDA $C08C,X	0x1F	0x60	0x00	0x35	0xFE
100938	44567435	C661: 10 FB      BPL $C65E	0x1F	0x60	0x00	0x35	0xFE
100939	44567438	C65E: BD 8C C0   LDA $C08C,X	0x7F	0x60	0x00	0x35	0xFE
100940	44567442	C661: 10 FB      BPL $C65E	0x7F	0x60	0x00	0x35	0xFE
100941	44567445	C65E: BD 8C C0   LDA $C08C,X	0xFF	0x60	0x00	0xB5	0xFE
100942	44567449	C661: 10 FB      BPL $C65E	0xFF	0x60	0x00	0xB5	0xFE
100943	44567451	C663: 49 D5      EOR #$D5	0x2A	0x60	0x00	0x35	0xFE
100944	44567453	C665: D0 F7      BNE $C65E	0x2A	0x60	0x00	0x35	0xFE
100945	44567456	C65E: BD 8C C0   LDA $C08C,X	0xFF	0x60	0x00	0xB5	0xFE
100946	44567460	C661: 10 FB      BPL $C65E	0xFF	0x60	0x00	0xB5	0xFE
100947	44567462	C663: 49 D5      EOR #$D5	0x2A	0x60	0x00	0x35	0xFE
100948	44567464	C665: D0 F7      BNE $C65E	0x2A	0x60	0x00	0x35	0xFE
100949	44567467	C65E: BD 8C C0   LDA $C08C,X	0x0D	0x60	0x00	0x35	0xFE
100950	44567471	C661: 10 FB      BPL $C65E	0x0D	0x60	0x00	0x35	0xFE
100951	44567474	C65E: BD 8C C0   LDA $C08C,X	0x35	0x60	0x00	0x35	0xFE
100952	44567478	C661: 10 FB      BPL $C65E	0x35	0x60	0x00	0x35	0xFE
100953	44567481	C65E: BD 8C C0   LDA $C08C,X	0x6A	0x60	0x00	0x35	0xFE
100954	44567485	C661: 10 FB      BPL $C65E	0x6A	0x60	0x00	0x35	0xFE
100955	44567488	C65E: BD 8C C0   LDA $C08C,X	0xD5	0x60	0x00	0xB5	0xFE
100956	44567492	C661: 10 FB      BPL $C65E	0xD5	0x60	0x00	0xB5	0xFE
100957	44567494	C663: 49 D5      EOR #$D5	0x00	0x60	0x00	0x37	0xFE
100958	44567496	C665: D0 F7      BNE $C65E	0x00	0x60	0x00	0x37	0xFE
100959	44567498	C667: BD 8C C0   LDA $C08C,X	0x0A	0x60	0x00	0x35	0xFE
100960	44567502	C66A: 10 FB      BPL $C667	0x0A	0x60	0x00	0x35	0xFE
100961	44567505	C667: BD 8C C0   LDA $C08C,X	0x15	0x60	0x00	0x35	0xFE
100962	44567509	C66A: 10 FB      BPL $C667	0x15	0x60	0x00	0x35	0xFE
100963	44567512	C667: BD 8C C0   LDA $C08C,X	0x55	0x60	0x00	0x35	0xFE
100964	44567516	C66A: 10 FB      BPL $C667	0x55	0x60	0x00	0x35	0xFE
100965	44567519	C667: BD 8C C0   LDA $C08C,X	0xAA	0x60	0x00	0xB5	0xFE
100966	44567523	C66A: 10 FB      BPL $C667	0xAA	0x60	0x00	0xB5	0xFE
100967	44567525	C66C: C9 AA      CMP #$AA	0xAA	0x60	0x00	0x37	0xFE
100968	44567527	C66E: D0 F3      BNE $C663	0xAA	0x60	0x00	0x37	0xFE
100969	44567529	C670: EA         NOP 	0xAA	0x60	0x00	0x37	0xFE
100970	44567531	C671: BD 8C C0   LDA $C08C,X	0x0A	0x60	0x00	0x35	0xFE
100971	44567535	C674: 10 FB      BPL $C671	0x0A	0x60	0x00	0x35	0xFE
100972	44567538	C671: BD 8C C0   LDA $C08C,X	0x2B	0x60	0x00	0x35	0xFE
100973	44567542	C674: 10 FB      BPL $C671	0x2B	0x60	0x00	0x35	0xFE
100974	44567545	C671: BD 8C C0   LDA $C08C,X	0x56	0x60	0x00	0x35	0xFE
100975	44567549	C674: 10 FB      BPL $C671	0x56	0x60	0x00	0x35	0xFE
100976	44567552	C671: BD 8C C0   LDA $C08C,X	0xAD	0x60	0x00	0xB5	0xFE
100977	44567556	C674: 10 FB      BPL $C671	0xAD	0x60	0x00	0xB5	0xFE
100978	44567558	C676: C9 96      CMP #$96	0xAD	0x60	0x00	0x35	0xFE
100979	44567560	C678: F0 09      BEQ $C683	0xAD	0x60	0x00	0x35	0xFE
100980	44567562	C67A: 28         PLP 	0xAD	0x60	0x00	0x37	0xFF
100981	44567566	C67B: 90 DF      BCC $C65C	0xAD	0x60	0x00	0x37	0xFF
